                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                 0.8945,                0.44484,                 1.0083,                0.83147,                0.86178,                 0.8926,                0.65146,                0.98729,                0.55718,                 1.1006,              0.0014228,              0.0014228,              0.0014228
                    151,                0.90874,                0.44389,                 1.0273,                0.85548,                0.86102,                0.89387,                0.64957,                0.99185,                0.56597,                 1.1018,              0.0014211,              0.0014211,              0.0014211
                    152,                0.90391,                0.44163,                 1.0092,                0.86016,                0.84994,                0.89421,                0.64927,                0.97416,                0.55844,                 1.0995,              0.0014195,              0.0014195,              0.0014195
                    153,                 0.9008,                0.45764,                 1.0202,                0.85169,                0.85251,                0.89149,                0.64016,                0.98516,                 0.5515,                 1.0984,              0.0014178,              0.0014178,              0.0014178
                    154,                 0.9076,                0.44866,                0.99425,                0.84866,                0.84317,                0.89214,                0.65492,                0.96512,                0.56711,                 1.0879,              0.0014161,              0.0014161,              0.0014161
                    155,                0.89064,                0.45028,                 1.0014,                0.84815,                0.86331,                0.89384,                0.65687,                 0.9715,                 0.5641,                 1.0905,              0.0014145,              0.0014145,              0.0014145
                    156,                0.88999,                0.42991,                  1.013,                0.85617,                0.85718,                0.88952,                0.64571,                0.97514,                0.56679,                 1.0975,              0.0014128,              0.0014128,              0.0014128
                    157,                0.90038,                0.45127,                 1.0063,                0.84795,                0.83783,                0.88462,                0.64292,                0.97962,                0.57187,                 1.0977,              0.0014112,              0.0014112,              0.0014112
                    158,                0.88232,                0.44686,                0.99522,                0.84177,                0.85996,                0.89025,                0.64471,                0.97547,                0.55654,                 1.0949,              0.0014095,              0.0014095,              0.0014095
                    159,                0.88749,                0.43499,                 1.0081,                0.86482,                0.84002,                0.89729,                0.65684,                0.96004,                0.54418,                 1.0853,              0.0014079,              0.0014079,              0.0014079
                    160,                0.89027,                0.44049,                 1.0068,                0.84185,                0.85532,                0.89016,                0.64848,                 0.9807,                0.57138,                 1.1051,              0.0014062,              0.0014062,              0.0014062
                    161,                 0.9065,                0.44735,                 1.0064,                0.84192,                0.84872,                0.87686,                0.63978,                0.98318,                0.56633,                  1.103,              0.0014046,              0.0014046,              0.0014046
                    162,                0.86463,                0.43553,                0.99377,                0.85641,                0.84958,                0.88997,                0.64927,                0.96713,                0.57052,                 1.0901,              0.0014029,              0.0014029,              0.0014029
                    163,                0.88136,                0.42461,                 0.9951,                0.81958,                0.88236,                0.89396,                0.64993,                 0.9709,                0.55816,                 1.0935,              0.0014013,              0.0014013,              0.0014013
                    164,                0.90412,                0.43825,                0.99653,                 0.8474,                0.86594,                0.89395,                0.64141,                 1.0072,                0.57531,                 1.1123,              0.0013996,              0.0013996,              0.0013996
                    165,                  0.893,                0.46153,                 1.0171,                 0.8586,                0.84862,                0.88372,                0.64493,                0.97601,                0.56637,                 1.0978,               0.001398,               0.001398,               0.001398
                    166,                0.89216,                0.45384,                 1.0079,                0.85194,                0.84786,                 0.8868,                0.64188,                0.96975,                0.57305,                 1.0955,              0.0013963,              0.0013963,              0.0013963
                    167,                 0.8786,                0.44384,                 0.9995,                0.86653,                0.84744,                0.89219,                0.65162,                0.98851,                0.58407,                 1.1028,              0.0013947,              0.0013947,              0.0013947
                    168,                0.89699,                0.44055,                 1.0127,                0.83771,                 0.8697,                0.89879,                0.65297,                0.96892,                0.56641,                 1.0994,               0.001393,               0.001393,               0.001393
                    169,                0.90631,                0.44286,                0.99701,                0.87372,                0.83419,                0.88275,                0.64009,                0.97346,                0.58046,                 1.0981,              0.0013914,              0.0013914,              0.0013914
                    170,                0.89154,                0.45461,                 1.0208,                0.84977,                0.86044,                0.88638,                 0.6432,                0.97759,                0.56759,                 1.0936,              0.0013897,              0.0013897,              0.0013897
                    171,                0.89145,                0.43272,                 1.0056,                0.85424,                 0.8622,                0.89519,                0.65502,                0.97198,                0.56488,                 1.0905,              0.0013881,              0.0013881,              0.0013881
                    172,                0.88357,                0.42569,                 1.0176,                0.87239,                 0.8566,                0.89725,                0.65106,                0.97321,                0.55276,                 1.0957,              0.0013864,              0.0013864,              0.0013864
                    173,                0.87937,                 0.4313,                0.98453,                0.88503,                0.84372,                0.90131,                0.65375,                0.95636,                0.54672,                 1.0857,              0.0013848,              0.0013848,              0.0013848
                    174,                0.86508,                0.41656,                0.98577,                0.87959,                0.84121,                0.89541,                0.64928,                0.96548,                0.55807,                 1.0906,              0.0013831,              0.0013831,              0.0013831
                    175,                0.86053,                0.41121,                 1.0016,                0.87573,                0.84515,                0.89093,                0.65378,                 0.9699,                0.58006,                 1.0942,              0.0013815,              0.0013815,              0.0013815
                    176,                0.86732,                0.41375,                 0.9866,                0.84624,                0.85444,                0.88411,                0.65174,                0.96656,                0.57473,                 1.0984,              0.0013798,              0.0013798,              0.0013798
