                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1065,                0.66086,                 1.1243,                0.83213,                0.84126,                0.87948,                0.62327,                 1.0198,                 0.6031,                 1.1158,              0.0016125,              0.0016125,              0.0016125
                     36,                 1.0822,                0.67749,                 1.1129,                0.85682,                0.80819,                0.87887,                0.62407,                 1.0151,                0.60479,                 1.1203,              0.0016109,              0.0016109,              0.0016109
                     37,                 1.1014,                0.71515,                 1.1116,                 0.8021,                0.82454,                 0.8687,                0.60301,                 1.0453,                0.64439,                 1.1441,              0.0016092,              0.0016092,              0.0016092
                     38,                 1.0967,                0.65945,                 1.1316,                0.81806,                0.85729,                0.88396,                0.62141,                 1.0245,                0.60903,                 1.1188,              0.0016076,              0.0016076,              0.0016076
                     39,                 1.0838,                0.68257,                 1.1112,                0.82541,                0.81128,                0.87055,                 0.6119,                 1.0293,                0.66659,                 1.1275,              0.0016059,              0.0016059,              0.0016059
                     40,                 1.0812,                0.65343,                 1.1007,                0.81914,                0.82249,                0.87575,                0.60807,                 1.0344,                0.64054,                 1.1241,              0.0016043,              0.0016043,              0.0016043
                     41,                 1.0892,                0.65316,                 1.1027,                0.82499,                0.85478,                0.88525,                0.62417,                 1.0229,                 0.6153,                 1.1157,              0.0016026,              0.0016026,              0.0016026
                     42,                 1.0687,                0.62446,                    1.1,                 0.8312,                0.84872,                0.88939,                0.63101,                 1.0203,                0.58501,                 1.1171,               0.001601,               0.001601,               0.001601
                     43,                 1.0812,                0.62386,                 1.1325,                0.83678,                0.84345,                0.88219,                0.63257,                 1.0055,                0.59936,                 1.1128,              0.0015993,              0.0015993,              0.0015993
                     44,                 1.0846,                0.65702,                 1.1034,                0.83507,                0.83193,                0.88263,                 0.6225,                 1.0426,                 0.6122,                 1.1218,              0.0015977,              0.0015977,              0.0015977
                     45,                 1.1067,                0.64046,                 1.1045,                0.84437,                0.84147,                0.88482,                0.62418,                 1.0204,                0.59952,                 1.1161,               0.001596,               0.001596,               0.001596
                     46,                 1.0677,                0.64566,                 1.1115,                0.81035,                0.82144,                0.87116,                  0.615,                  1.023,                0.60607,                  1.123,              0.0015944,              0.0015944,              0.0015944
                     47,                 1.0765,                0.63098,                  1.097,                0.84883,                0.83657,                 0.8859,                0.62903,                  1.012,                 0.6097,                 1.1176,              0.0015927,              0.0015927,              0.0015927
                     48,                 1.0747,                0.64273,                 1.0694,                0.81377,                0.83918,                0.87581,                0.62256,                 1.0171,                0.61042,                 1.1283,              0.0015911,              0.0015911,              0.0015911
                     49,                  1.107,                0.64325,                 1.1163,                0.82374,                0.83752,                0.88427,                0.62291,                 1.0218,                0.59668,                  1.125,              0.0015894,              0.0015894,              0.0015894
                     50,                 1.0548,                0.60619,                  1.093,                0.81665,                0.86746,                0.89224,                0.62783,                 1.0145,                0.58044,                 1.1088,              0.0015878,              0.0015878,              0.0015878
                     51,                 1.0457,                 0.6133,                  1.091,                0.82953,                0.84094,                 0.8877,                0.62741,                 1.0186,                0.59202,                 1.1106,              0.0015861,              0.0015861,              0.0015861
                     52,                 1.0428,                0.62911,                 1.0797,                 0.8344,                0.84319,                0.88867,                0.63565,                 1.0104,                0.60033,                 1.1107,              0.0015845,              0.0015845,              0.0015845
                     53,                 1.0604,                0.64311,                 1.0991,                 0.8438,                0.81259,                0.87695,                0.61968,                 1.0238,                0.59146,                  1.115,              0.0015828,              0.0015828,              0.0015828
                     54,                 1.0445,                0.61137,                 1.0949,                0.84291,                0.84773,                 0.8871,                0.62891,                 1.0177,                0.57628,                 1.1181,              0.0015812,              0.0015812,              0.0015812
                     55,                 1.0683,                0.62477,                 1.1023,                0.82236,                0.86143,                 0.8872,                0.63424,                 1.0151,                0.59626,                 1.1131,              0.0015795,              0.0015795,              0.0015795
                     56,                 1.0539,                0.59708,                 1.0999,                0.84114,                0.83676,                0.88727,                0.63118,                  1.016,                0.58059,                 1.1106,              0.0015779,              0.0015779,              0.0015779
                     57,                 1.0552,                0.60785,                 1.0747,                0.82564,                0.86057,                0.88472,                0.63202,                 1.0131,                0.57711,                 1.1116,              0.0015762,              0.0015762,              0.0015762
                     58,                 1.0553,                0.60463,                 1.0706,                0.84369,                0.84093,                0.89437,                  0.638,                 1.0059,                0.58715,                 1.1083,              0.0015746,              0.0015746,              0.0015746
                     59,                 1.0374,                0.58397,                 1.0531,                0.84803,                0.84131,                0.89059,                0.63666,                 1.0072,                 0.5757,                 1.1053,              0.0015729,              0.0015729,              0.0015729
                     60,                  1.015,                0.57146,                 1.0731,                0.85619,                0.84551,                0.89304,                0.63929,                0.99642,                0.56837,                 1.1014,              0.0015713,              0.0015713,              0.0015713
