                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.68555,                0.72588,                0.74788,                 1.0163,                0.75874,                0.77594,                0.81245,                0.64461,                0.74643,                 0.7636,                0.79119,                0.48483,                0.69443,                0.70086,                0.82762,                 1.0775,              0.0097723,              0.0097723,              0.0097723
                     26,                0.68979,                0.74395,                0.73763,                 1.0201,                0.74248,                0.78043,                 0.8229,                0.65494,                0.74005,                0.76524,                0.80192,                0.49006,                 0.6941,                0.70312,                0.81647,                 1.0714,              0.0097624,              0.0097624,              0.0097624
                     27,                0.68587,                 0.7413,                0.70548,                 1.0067,                0.75583,                0.79944,                0.83245,                0.67329,                0.75103,                0.77986,                0.81404,                0.51099,                0.64675,                0.64688,                0.70612,                 1.0619,              0.0097525,              0.0097525,              0.0097525
                     28,                0.67283,                0.74268,                0.69679,                 1.0081,                0.78902,                0.80598,                 0.8496,                0.68914,                0.77447,                0.77867,                0.82399,                0.52289,                0.64834,                0.65927,                0.71365,                 1.0485,              0.0097426,              0.0097426,              0.0097426
                     29,                 0.6626,                0.76182,                0.69628,                0.99481,                0.77134,                 0.8113,                0.84915,                0.69423,                0.76906,                0.80787,                0.83855,                0.53361,                0.64477,                0.64513,                  0.704,                 1.0663,              0.0097327,              0.0097327,              0.0097327
                     30,                0.64843,                0.69574,                0.67864,                0.99388,                0.77907,                0.80608,                0.85672,                0.71362,                0.78737,                0.78088,                0.83764,                0.52821,                0.62627,                0.64954,                0.69809,                 1.0388,              0.0097228,              0.0097228,              0.0097228
                     31,                0.65871,                0.73549,                0.67706,                 1.0027,                0.80519,                0.78178,                0.85521,                0.70322,                0.80032,                0.76925,                0.84449,                0.54625,                0.63183,                0.64102,                0.67715,                 1.0565,              0.0097129,              0.0097129,              0.0097129
                     32,                 0.6507,                0.73976,                0.67753,                0.99759,                0.79048,                0.79834,                0.84949,                0.68971,                0.77678,                0.78282,                0.82661,                0.52734,                0.63847,                0.66503,                0.68032,                 1.0552,               0.009703,               0.009703,               0.009703
                     33,                  0.641,                0.68542,                0.69058,                0.99256,                0.76986,                0.79775,                0.84462,                0.69989,                0.75969,                0.77449,                0.82391,                0.53245,                0.62156,                0.66545,                0.70152,                 1.0295,              0.0096931,              0.0096931,              0.0096931
                     34,                0.65222,                0.72854,                0.69889,                0.99134,                0.77775,                0.78318,                0.83826,                0.68776,                0.77467,                0.77262,                0.82489,                0.51849,                0.62711,                 0.6342,                0.71248,                 1.0366,              0.0096832,              0.0096832,              0.0096832
