                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 0.5244,                0.62329,                0.47963,                0.92434,                0.84053,                0.81893,                0.86999,                0.73941,                0.83409,                0.81269,                0.85997,                0.57919,                0.56352,                0.61271,                0.62413,                 1.0261,              0.0090793,              0.0090793,              0.0090793
                     96,                0.51149,                0.60173,                0.48345,                0.92461,                0.80887,                 0.8488,                0.88618,                0.75379,                0.80067,                0.83904,                0.87461,                0.58898,                0.56248,                0.60756,                0.57536,                 1.0281,              0.0090694,              0.0090694,              0.0090694
                     97,                0.51183,                0.60076,                0.47602,                0.92621,                0.82408,                0.83138,                0.87657,                0.74576,                0.82272,                0.82356,                0.86621,                0.58842,                0.54709,                0.58195,                0.59056,                 1.0138,              0.0090595,              0.0090595,              0.0090595
                     98,                0.51789,                0.61178,                 0.5055,                 0.9146,                0.82724,                0.83879,                0.88111,                0.74518,                0.80811,                0.83495,                 0.8723,                0.57902,                0.57625,                0.60809,                 0.5809,                   1.04,              0.0090496,              0.0090496,              0.0090496
                     99,                0.50582,                0.61838,                0.47567,                0.92803,                0.84344,                0.79883,                0.87767,                0.73864,                0.83697,                 0.7924,                0.86366,                0.57872,                0.56675,                0.59513,                0.61558,                 1.0395,              0.0090397,              0.0090397,              0.0090397
                    100,                0.51638,                0.59864,                0.46335,                0.93177,                0.81358,                0.82807,                0.86491,                0.72987,                0.80528,                0.81805,                0.84942,                0.56401,                0.57509,                0.61578,                0.62882,                 1.0456,              0.0090298,              0.0090298,              0.0090298
                    101,                0.52328,                0.61247,                0.48163,                0.93353,                0.84192,                 0.8065,                0.88071,                0.74449,                0.84056,                 0.8031,                0.86817,                0.57097,                0.56624,                0.60056,                0.60452,                 1.0363,              0.0090199,              0.0090199,              0.0090199
                    102,                0.51388,                0.61457,                0.46387,                0.92914,                0.83333,                0.82105,                0.89425,                  0.756,                0.80374,                 0.8326,                 0.8775,                0.58612,                0.55688,                0.60039,                0.57023,                 1.0261,                0.00901,                0.00901,                0.00901
                    103,                0.50929,                0.62617,                0.47921,                0.92096,                0.84453,                0.83419,                0.88927,                0.75302,                0.83917,                 0.8238,                0.87637,                0.57962,                0.56147,                0.60058,                0.56752,                 1.0271,              0.0090001,              0.0090001,              0.0090001
                    104,                 0.5113,                0.61179,                 0.4632,                0.92431,                0.85859,                 0.8237,                0.88795,                0.74601,                0.85146,                 0.8176,                0.87632,                0.57655,                0.55715,                0.61465,                0.59789,                 1.0303,              0.0089902,              0.0089902,              0.0089902
                    105,                 0.5109,                0.58722,                 0.4591,                0.92443,                0.80715,                0.83511,                0.87928,                0.74724,                0.79996,                0.82338,                0.86729,                0.57657,                 0.5577,                0.60859,                  0.607,                 1.0193,              0.0089803,              0.0089803,              0.0089803
                    106,                0.50774,                0.60932,                 0.4621,                0.91482,                0.83726,                0.82534,                0.88223,                  0.743,                0.83304,                 0.8209,                0.87284,                 0.5842,                0.57444,                0.61191,                0.62936,                 1.0262,              0.0089704,              0.0089704,              0.0089704
                    107,                0.50182,                0.60854,                0.49161,                0.91477,                0.84297,                0.79485,                0.88171,                0.74521,                0.83601,                0.78881,                0.86883,                0.57083,                0.56287,                0.60268,                0.59479,                 1.0343,              0.0089605,              0.0089605,              0.0089605
                    108,                0.49724,                0.58675,                0.48577,                0.91595,                0.78154,                0.88661,                0.88543,                0.74711,                0.77682,                0.86704,                0.87352,                0.58447,                0.56383,                0.61474,                0.59091,                 1.0231,              0.0089506,              0.0089506,              0.0089506
                    109,                0.49502,                0.59031,                0.47617,                0.91327,                0.83604,                0.81545,                0.88524,                0.74464,                 0.8219,                0.80427,                0.87095,                0.58239,                0.57385,                0.61333,                0.59483,                 1.0406,              0.0089407,              0.0089407,              0.0089407
                    110,                0.50016,                0.57992,                 0.4861,                0.91931,                0.81143,                0.83574,                0.88821,                0.74817,                0.79205,                 0.8347,                0.87967,                 0.5963,                0.56228,                0.60355,                0.58003,                 1.0345,              0.0089308,              0.0089308,              0.0089308
                    111,                 0.5033,                0.61281,                0.48481,                0.91948,                0.84899,                0.83536,                 0.8896,                0.76156,                0.84182,                0.82815,                0.87893,                0.58448,                0.54934,                0.61055,                0.55948,                 1.0205,              0.0089209,              0.0089209,              0.0089209
                    112,                 0.4889,                 0.6007,                 0.4506,                 0.9177,                0.81071,                0.82316,                0.87598,                0.75044,                0.79973,                0.81095,                0.85755,                0.58074,                0.53554,                0.60332,                0.59831,                 1.0143,               0.008911,               0.008911,               0.008911
                    113,                0.50239,                0.61057,                0.44931,                0.92028,                0.80281,                 0.8637,                0.89526,                0.76839,                0.79337,                 0.8535,                 0.8822,                 0.6034,                0.53821,                0.60204,                0.56478,                 1.0148,              0.0089011,              0.0089011,              0.0089011
                    114,                0.48699,                0.58195,                0.45029,                0.91032,                0.84593,                0.83675,                0.89464,                0.75767,                0.83334,                0.83227,                0.87472,                0.58217,                0.55195,                  0.604,                0.57819,                 1.0212,              0.0088912,              0.0088912,              0.0088912
                    115,                0.49044,                0.59415,                0.46453,                0.91006,                0.83234,                0.82299,                0.87935,                0.75626,                0.82673,                0.81848,                0.86887,                0.58241,                0.53926,                0.59448,                0.57327,                 1.0248,              0.0088813,              0.0088813,              0.0088813
                    116,                0.49708,                0.59956,                0.46583,                0.91915,                0.79637,                0.84567,                0.87702,                0.74914,                 0.7903,                0.83455,                0.86719,                0.57802,                0.54377,                0.60185,                0.59095,                 1.0223,              0.0088714,              0.0088714,              0.0088714
                    117,                0.48952,                0.59635,                0.45098,                0.91551,                0.81568,                0.82561,                0.88193,                0.76017,                0.80932,                0.81949,                0.87567,                0.58256,                0.54749,                0.60961,                0.58301,                 1.0241,              0.0088615,              0.0088615,              0.0088615
                    118,                0.49856,                0.60262,                0.44238,                0.91158,                0.80158,                0.84558,                0.88499,                0.75803,                0.79465,                0.82573,                0.87202,                0.59324,                0.54835,                0.59924,                0.58353,                 1.0264,              0.0088516,              0.0088516,              0.0088516
                    119,                0.49212,                0.58267,                 0.4542,                0.91249,                0.80504,                0.83933,                0.87838,                0.74671,                0.79958,                0.83005,                0.86825,                0.58269,                0.54527,                0.59719,                0.58247,                 1.0192,              0.0088417,              0.0088417,              0.0088417
                    120,                0.49248,                0.59313,                0.45267,                0.91518,                0.85589,                 0.8278,                 0.8902,                0.76161,                0.85181,                0.81871,                0.88027,                0.59436,                0.54506,                0.59057,                 0.5709,                 1.0276,              0.0088318,              0.0088318,              0.0088318
                    121,                0.49325,                 0.5896,                0.45288,                0.91141,                0.83148,                0.83189,                0.88964,                0.75712,                0.82366,                0.82096,                0.87628,                0.58797,                 0.5511,                0.60533,                0.56277,                 1.0186,              0.0088219,              0.0088219,              0.0088219
                    122,                0.48725,                0.58974,                0.44308,                0.90716,                0.84179,                0.80685,                0.88099,                0.75024,                0.84444,                0.79798,                0.87394,                 0.5869,                0.55114,                0.61612,                0.58686,                 1.0198,               0.008812,               0.008812,               0.008812
                    123,                0.49576,                0.58457,                0.45978,                0.91532,                0.83852,                0.83401,                0.89095,                0.76096,                0.83311,                0.82326,                0.88397,                0.59976,                 0.5533,                0.59959,                0.57212,                 1.0284,              0.0088021,              0.0088021,              0.0088021
                    124,                 0.4868,                0.60409,                0.44247,                0.91134,                0.83344,                0.81626,                0.88023,                 0.7503,                0.82757,                0.80834,                 0.8727,                0.57862,                0.55314,                0.61613,                0.62019,                 1.0259,              0.0087922,              0.0087922,              0.0087922
                    125,                0.48976,                0.60128,                0.47274,                0.91318,                0.81261,                0.84183,                0.88163,                 0.7499,                0.80385,                0.83161,                0.86924,                0.57846,                0.54297,                0.61218,                0.61119,                 1.0208,              0.0087823,              0.0087823,              0.0087823
                    126,                0.48486,                  0.597,                0.44929,                0.91114,                0.81844,                 0.8511,                0.88843,                0.75983,                0.81397,                0.84633,                 0.8772,                 0.5932,                 0.5552,                0.59423,                0.59553,                  1.025,              0.0087724,              0.0087724,              0.0087724
                    127,                0.50736,                0.61724,                 0.4703,                0.92247,                0.83334,                0.82315,                0.88978,                 0.7561,                 0.8296,                0.81191,                0.87677,                0.56313,                0.55735,                0.61328,                0.59379,                 1.0366,              0.0087625,              0.0087625,              0.0087625
                    128,                0.49675,                0.61623,                0.44864,                0.90892,                0.83432,                0.83256,                 0.8755,                0.74544,                0.82607,                 0.8237,                0.86422,                0.57178,                0.55939,                0.61048,                0.60536,                  1.023,              0.0087526,              0.0087526,              0.0087526
                    129,                0.47794,                0.56672,                0.42518,                0.90716,                0.82845,                 0.8306,                0.87223,                0.74307,                0.82559,                0.82374,                0.85827,                0.58694,                0.54146,                0.60263,                0.59604,                 1.0115,              0.0087427,              0.0087427,              0.0087427
                    130,                0.48715,                0.58396,                0.43561,                0.90497,                0.84981,                0.80097,                0.87456,                0.74365,                0.84769,                0.79864,                0.86464,                0.58376,                0.55494,                0.59189,                0.58591,                   1.03,              0.0087328,              0.0087328,              0.0087328
                    131,                 0.4864,                0.58531,                0.44188,                0.90949,                0.80799,                0.81404,                0.87292,                0.74164,                0.81877,                0.78484,                0.86216,                0.58381,                0.54219,                0.59117,                0.59904,                 1.0175,              0.0087229,              0.0087229,              0.0087229
                    132,                0.47438,                0.56804,                0.44805,                0.91054,                0.82345,                0.80684,                0.87156,                0.72925,                0.81257,                0.79609,                0.85635,                0.56766,                0.55064,                0.59373,                0.62284,                 1.0219,               0.008713,               0.008713,               0.008713
                    133,                0.48255,                0.57971,                0.44406,                0.91113,                0.82549,                0.82713,                0.88062,                0.75348,                0.81855,                0.81959,                0.87194,                0.58723,                0.53994,                0.59481,                0.58619,                 1.0233,              0.0087031,              0.0087031,              0.0087031
                    134,                0.48346,                0.58781,                0.43738,                0.91361,                0.78613,                0.83545,                0.87121,                0.74631,                0.79589,                0.80272,                0.86027,                0.58262,                0.53537,                0.59815,                0.60069,                 1.0193,              0.0086932,              0.0086932,              0.0086932
                    135,                0.47052,                0.57045,                0.42326,                0.91384,                0.82019,                0.81005,                0.87709,                0.75278,                 0.8168,                0.80593,                0.86988,                0.59957,                0.54098,                0.59968,                0.59686,                 1.0261,              0.0086833,              0.0086833,              0.0086833
                    136,                0.48293,                0.60053,                0.44404,                  0.916,                 0.8106,                0.84688,                0.87943,                0.75572,                0.80541,                0.83546,                 0.8647,                0.59291,                0.53004,                0.58535,                0.59138,                 1.0154,              0.0086734,              0.0086734,              0.0086734
                    137,                0.47562,                0.58951,                 0.4214,                0.90472,                 0.8105,                 0.8544,                 0.8748,                0.75582,                0.80716,                0.84817,                0.86936,                0.59194,                0.53223,                0.58213,                0.55966,                 1.0131,              0.0086635,              0.0086635,              0.0086635
                    138,                0.47362,                0.56422,                0.43031,                0.90618,                0.81981,                 0.8537,                0.88711,                0.76007,                0.81477,                0.85059,                0.88081,                0.59209,                0.53818,                0.60285,                0.57318,                 1.0268,              0.0086536,              0.0086536,              0.0086536
                    139,                0.46887,                0.56509,                0.41822,                 0.9001,                0.83096,                0.80588,                0.86618,                0.74051,                0.82775,                0.80213,                0.86158,                0.58182,                0.52984,                0.59387,                0.60269,                 1.0196,              0.0086437,              0.0086437,              0.0086437
                    140,                0.46842,                0.57596,                0.41569,                 0.8996,                0.83852,                0.83313,                0.88483,                0.75564,                0.83531,                  0.827,                0.87693,                0.59269,                0.53412,                0.59421,                0.58315,                 1.0183,              0.0086338,              0.0086338,              0.0086338
                    141,                0.47401,                0.58526,                0.42365,                0.91229,                0.84432,                0.80385,                0.87284,                0.74732,                0.84001,                0.79974,                0.86325,                0.58492,                0.54145,                0.58975,                0.59395,                 1.0269,              0.0086239,              0.0086239,              0.0086239
                    142,                0.46966,                 0.5754,                0.40931,                0.90536,                0.83579,                0.84072,                 0.8816,                0.75461,                0.84473,                0.81825,                0.86935,                0.58844,                0.52761,                0.58199,                 0.5828,                 1.0253,               0.008614,               0.008614,               0.008614
                    143,                0.46546,                0.57386,                0.41945,                0.89632,                0.83906,                0.80722,                0.88597,                  0.766,                0.83439,                0.79919,                0.87599,                0.59513,                0.52031,                0.59101,                0.56295,                0.99846,              0.0086041,              0.0086041,              0.0086041
                    144,                0.46563,                0.58617,                 0.4301,                0.89857,                0.84153,                0.81559,                0.88495,                 0.7523,                 0.8298,                0.80445,                0.86835,                0.59155,                0.53062,                0.58656,                0.57502,                 1.0251,              0.0085942,              0.0085942,              0.0085942
                    145,                0.45999,                0.57717,                0.42119,                 0.8997,                0.82847,                0.81877,                0.87831,                0.74804,                0.81377,                 0.8189,                0.86726,                0.59077,                0.53179,                0.59862,                0.57598,                 1.0293,              0.0085843,              0.0085843,              0.0085843
                    146,                0.46604,                0.57749,                0.41184,                0.90231,                0.83803,                0.83604,                0.88559,                0.76129,                0.83292,                 0.8299,                0.87514,                0.59293,                0.53607,                0.59905,                0.57068,                 1.0256,              0.0085744,              0.0085744,              0.0085744
                    147,                0.46765,                0.56614,                 0.4168,                0.91057,                0.80186,                 0.8575,                0.88167,                 0.7615,                0.79314,                0.84793,                0.87029,                0.59561,                0.53442,                  0.586,                0.57217,                 1.0168,              0.0085645,              0.0085645,              0.0085645
                    148,                0.46068,                0.57414,                0.42101,                0.90418,                0.83105,                0.82847,                0.88079,                0.75387,                0.83035,                0.82689,                0.88094,                0.59445,                0.53383,                 0.5915,                 0.5793,                 1.0169,              0.0085546,              0.0085546,              0.0085546
                    149,                0.46315,                0.57382,                0.40394,                0.90093,                0.83176,                0.82117,                0.88558,                0.76627,                0.83316,                0.82223,                0.88322,                  0.603,                0.53158,                0.60211,                0.58165,                 1.0161,              0.0085447,              0.0085447,              0.0085447
                    150,                 0.4632,                0.57243,                0.41639,                0.89169,                0.82173,                0.81846,                0.87085,                0.75021,                0.81702,                0.81183,                0.86278,                0.58995,                0.52081,                0.59348,                 0.5753,                 1.0204,              0.0085348,              0.0085348,              0.0085348
                    151,                0.45644,                0.56419,                0.40231,                0.89517,                0.83481,                0.81971,                0.88153,                0.75996,                0.83044,                0.81436,                0.87182,                0.60129,                0.53258,                0.59406,                0.57653,                 1.0193,              0.0085249,              0.0085249,              0.0085249
                    152,                0.46107,                 0.5833,                0.40998,                 0.9032,                0.81402,                0.84574,                0.87914,                0.75299,                0.80628,                0.83595,                0.87028,                0.59496,                 0.5369,                0.59362,                0.56917,                 1.0107,               0.008515,               0.008515,               0.008515
                    153,                0.45858,                 0.5627,                0.42404,                0.89046,                0.82936,                0.82153,                0.86656,                0.73713,                0.82507,                0.81153,                0.85774,                0.58758,                0.54296,                0.60664,                 0.6001,                 1.0173,              0.0085051,              0.0085051,              0.0085051
                    154,                0.45743,                0.60256,                0.40719,                0.89887,                0.79452,                 0.8451,                0.88488,                 0.7571,                0.78675,                 0.8384,                 0.8747,                0.59562,                0.53762,                0.60004,                0.57241,                  1.016,              0.0084952,              0.0084952,              0.0084952
                    155,                0.45832,                0.58716,                0.40331,                0.89268,                0.85217,                0.80711,                0.87939,                0.74834,                0.84865,                0.80345,                0.87391,                0.59751,                0.54349,                0.59538,                0.58425,                 1.0303,              0.0084853,              0.0084853,              0.0084853
                    156,                  0.463,                0.58976,                0.40103,                0.89622,                0.84084,                0.80849,                0.88518,                0.76102,                0.83272,                0.81194,                0.87628,                0.59761,                0.53625,                0.58397,                 0.6008,                 1.0217,              0.0084754,              0.0084754,              0.0084754
                    157,                0.45563,                0.56884,                0.39474,                 0.8993,                0.84297,                0.81105,                0.88152,                0.75457,                0.83829,                0.80918,                0.87539,                0.59893,                0.54475,                0.58658,                0.58498,                  1.028,              0.0084655,              0.0084655,              0.0084655
                    158,                0.45895,                0.55938,                0.39598,                0.90402,                0.83095,                0.82104,                0.87513,                0.74211,                0.83103,                0.81772,                0.87002,                0.60076,                0.53856,                0.58474,                0.59888,                 1.0179,              0.0084556,              0.0084556,              0.0084556
                    159,                0.44197,                0.58623,                 0.4035,                0.89473,                0.83672,                0.82402,                 0.8784,                0.75209,                 0.8374,                0.81632,                0.86958,                0.59853,                0.53007,                0.59762,                0.57867,                 1.0056,              0.0084457,              0.0084457,              0.0084457
                    160,                0.45131,                0.55335,                0.38793,                0.89048,                0.86143,                0.83482,                0.88771,                 0.7645,                0.85451,                0.82812,                0.88064,                0.59726,                0.53654,                0.59091,                0.58054,                  1.023,              0.0084358,              0.0084358,              0.0084358
                    161,                0.47238,                0.57302,                0.41477,                0.90902,                0.82298,                0.84772,                0.88928,                0.76857,                 0.8052,                0.84655,                0.88237,                0.60944,                0.52863,                0.58468,                0.56658,                 1.0165,              0.0084259,              0.0084259,              0.0084259
                    162,                0.45281,                0.57436,                0.40506,                0.89741,                0.84813,                0.81329,                0.88339,                0.75782,                0.86583,                 0.7831,                0.87167,                0.59584,                 0.5449,                0.59843,                0.58573,                 1.0199,               0.008416,               0.008416,               0.008416
                    163,                0.46461,                 0.5835,                0.39867,                0.89736,                0.84713,                0.83589,                0.88327,                0.76082,                0.84659,                0.82818,                0.87314,                0.59884,                0.52983,                0.59077,                0.55319,                 1.0113,              0.0084061,              0.0084061,              0.0084061
                    164,                0.45017,                0.54387,                0.41389,                0.89552,                0.80234,                0.84012,                0.86333,                0.74045,                0.81044,                0.82052,                 0.8551,                0.58287,                 0.5252,                 0.5937,                0.58304,                 1.0139,              0.0083962,              0.0083962,              0.0083962
                    165,                0.45399,                 0.5685,                0.39984,                0.90157,                0.82081,                0.84433,                0.87619,                0.75112,                0.82021,                0.81993,                0.86676,                0.59288,                0.53346,                0.59276,                0.58983,                 1.0209,              0.0083863,              0.0083863,              0.0083863
                    166,                0.46263,                0.58707,                 0.3974,                0.90055,                0.82089,                0.83932,                 0.8785,                0.74974,                0.82192,                0.82848,                0.87005,                0.59698,                0.53368,                0.58935,                0.58527,                 1.0113,              0.0083764,              0.0083764,              0.0083764
                    167,                0.45279,                0.55311,                0.39899,                0.89922,                0.81153,                0.82725,                 0.8736,                0.75521,                0.80311,                0.81838,                0.86257,                0.59581,                0.53142,                0.59294,                0.58348,                 1.0181,              0.0083665,              0.0083665,              0.0083665
                    168,                0.44947,                  0.568,                0.40798,                0.88833,                0.83679,                0.83323,                0.88879,                0.76686,                0.83146,                0.81674,                0.87411,                0.59699,                0.52994,                0.59531,                0.56102,                 1.0218,              0.0083566,              0.0083566,              0.0083566
                    169,                0.45706,                0.56135,                 0.3942,                0.89329,                0.83838,                  0.847,                0.90022,                0.78178,                0.84538,                0.82726,                0.89024,                0.61057,                0.52734,                0.59783,                0.53356,                 1.0237,              0.0083467,              0.0083467,              0.0083467
                    170,                0.44592,                0.56302,                0.42872,                0.88995,                0.81663,                0.86416,                0.88186,                0.76637,                0.85815,                0.81868,                0.87698,                0.59668,                0.52493,                0.60201,                0.58271,                  1.002,              0.0083368,              0.0083368,              0.0083368
                    171,                0.45069,                0.56077,                0.40482,                0.89264,                0.85096,                0.81803,                0.88108,                 0.7686,                0.84871,                0.81471,                0.87612,                0.59455,                0.52079,                0.60403,                0.56011,                 1.0108,              0.0083269,              0.0083269,              0.0083269
                    172,                0.43704,                0.56215,                0.37785,                0.88831,                0.82145,                 0.8378,                0.87344,                0.75625,                0.81715,                0.83359,                0.86868,                0.59049,                0.52442,                0.59443,                0.58722,                 1.0059,               0.008317,               0.008317,               0.008317
                    173,                0.44215,                0.57071,                0.39701,                0.88721,                0.85649,                0.79841,                0.89185,                0.77186,                0.85773,                0.79225,                 0.8804,                 0.6006,                 0.5286,                  0.586,                0.56991,                 1.0155,              0.0083071,              0.0083071,              0.0083071
                    174,                0.45445,                0.56999,                0.38531,                0.90223,                0.82957,                0.84848,                0.87857,                0.75832,                0.82392,                 0.8415,                0.86818,                 0.5953,                 0.5275,                0.60251,                0.57484,                 1.0095,              0.0082972,              0.0082972,              0.0082972
                    175,                0.44025,                0.54657,                0.38259,                0.88716,                0.82041,                0.85056,                0.87473,                 0.7503,                0.81609,                0.83883,                0.86497,                0.58889,                 0.5321,                0.59579,                 0.5956,                 1.0204,              0.0082873,              0.0082873,              0.0082873
                    176,                0.43998,                0.54446,                0.39182,                0.88007,                0.87031,                0.80011,                0.89052,                0.76979,                0.83679,                0.82287,                0.88415,                0.59967,                0.52405,                0.61722,                0.54929,                  1.021,              0.0082774,              0.0082774,              0.0082774
                    177,                0.43071,                 0.5522,                0.39043,                0.89257,                0.83181,                 0.8381,                 0.8847,                0.75512,                0.85993,                0.80152,                0.87536,                0.58457,                0.52476,                0.59788,                0.56606,                 1.0154,              0.0082675,              0.0082675,              0.0082675
                    178,                0.44418,                0.55972,                0.38661,                 0.8902,                0.83095,                0.85001,                0.89033,                0.77244,                0.82572,                0.84322,                0.87989,                0.60371,                0.52319,                0.60482,                0.55271,                 1.0231,              0.0082576,              0.0082576,              0.0082576
                    179,                0.44526,                 0.5565,                0.38167,                0.89792,                 0.8057,                0.87242,                0.88656,                0.76895,                0.80877,                0.85621,                0.87899,                0.60225,                0.52718,                0.59723,                0.56511,                 1.0224,              0.0082477,              0.0082477,              0.0082477
                    180,                0.43512,                0.54201,                 0.4021,                0.88861,                0.79359,                0.85297,                0.87135,                0.75579,                0.78838,                0.84816,                 0.8598,                0.58692,                0.52251,                0.58558,                0.58383,                  1.015,              0.0082378,              0.0082378,              0.0082378
                    181,                0.43496,                0.54282,                0.37651,                0.88335,                0.82173,                0.85152,                0.88263,                0.76438,                0.84567,                0.82603,                0.87561,                0.59443,                0.52551,                0.59556,                0.57274,                 1.0243,              0.0082279,              0.0082279,              0.0082279
                    182,                0.43605,                0.55322,                 0.3693,                0.88674,                0.86934,                0.80538,                0.88333,                0.76538,                0.86552,                 0.8015,                0.87122,                0.59353,                0.52759,                0.60102,                 0.5769,                 1.0203,               0.008218,               0.008218,               0.008218
                    183,                0.43173,                0.55682,                0.37253,                0.88581,                0.86172,                 0.8238,                0.89562,                0.77645,                0.85623,                0.81736,                0.88413,                0.60616,                0.52834,                0.58128,                 0.5548,                 1.0227,              0.0082081,              0.0082081,              0.0082081
                    184,                 0.4415,                  0.545,                0.37637,                0.88759,                0.85048,                0.82868,                 0.8866,                0.77061,                0.84555,                0.82259,                0.87849,                0.60388,                0.52205,                0.58301,                0.58923,                 1.0167,              0.0081982,              0.0081982,              0.0081982
                    185,                0.43272,                0.55925,                0.37358,                0.88276,                0.81557,                0.85225,                 0.8785,                0.76428,                0.81075,                0.84044,                0.86811,                0.60414,                 0.5172,                0.58444,                0.60074,                0.99996,              0.0081883,              0.0081883,              0.0081883
                    186,                0.43371,                0.55738,                0.37416,                0.88293,                0.80261,                0.85349,                0.88263,                0.76323,                0.85107,                0.79577,                0.87258,                0.59477,                0.51605,                0.60085,                 0.6089,                 1.0054,              0.0081784,              0.0081784,              0.0081784
                    187,                0.44021,                 0.5571,                0.37622,                0.89178,                0.85699,                0.83003,                0.89204,                0.76704,                0.84706,                0.82272,                0.87777,                0.59613,                0.51623,                0.58644,                0.57533,                 1.0062,              0.0081685,              0.0081685,              0.0081685
                    188,                0.43339,                0.54367,                0.36909,                0.89117,                0.84937,                0.83791,                0.89739,                0.77321,                0.84616,                0.83292,                0.88911,                0.60315,                0.52166,                0.60158,                0.55278,                 1.0103,              0.0081586,              0.0081586,              0.0081586
                    189,                 0.4388,                0.55256,                 0.3744,                0.89179,                0.84313,                0.83135,                0.89411,                0.77451,                0.84421,                0.81715,                0.88605,                0.60243,                 0.5272,                0.59247,                0.56311,                 1.0125,              0.0081487,              0.0081487,              0.0081487
                    190,                0.43563,                 0.5451,                0.38048,                0.88271,                0.81075,                0.83357,                0.86835,                0.74305,                0.80544,                0.82876,                0.85741,                0.57994,                0.52987,                0.59384,                 0.6272,                 1.0209,              0.0081388,              0.0081388,              0.0081388
                    191,                0.43741,                0.53544,                 0.3655,                0.88659,                0.79583,                0.84048,                0.87776,                0.75607,                0.78892,                 0.8327,                0.86713,                0.59584,                0.51493,                0.59599,                0.60462,                 1.0103,              0.0081289,              0.0081289,              0.0081289
                    192,                0.43808,                0.57133,                0.36614,                0.88209,                 0.8376,                 0.8055,                0.86428,                0.74753,                0.83448,                0.80387,                 0.8564,                0.58273,                0.52443,                0.59326,                0.64284,                 1.0194,               0.008119,               0.008119,               0.008119
                    193,                0.43223,                0.54822,                0.36152,                0.88563,                0.82373,                0.83258,                0.89034,                0.76777,                0.82021,                0.82892,                0.88131,                0.60107,                0.51871,                0.58829,                0.59039,                 1.0194,              0.0081091,              0.0081091,              0.0081091
                    194,                0.43058,                0.54549,                0.36772,                0.88614,                 0.8315,                0.83244,                0.88946,                0.76493,                0.82382,                0.83287,                0.88306,                0.60104,                0.52458,                0.58051,                0.56339,                 1.0233,              0.0080992,              0.0080992,              0.0080992
                    195,                0.42392,                0.52978,                 0.3825,                 0.8771,                0.84566,                0.81227,                0.88955,                0.76181,                0.84314,                0.80917,                0.88267,                0.60133,                 0.5325,                0.59296,                0.58286,                  1.021,              0.0080893,              0.0080893,              0.0080893
                    196,                0.43592,                0.56296,                0.37438,                0.88506,                0.84174,                0.82648,                0.88467,                0.76387,                0.84113,                0.81872,                0.87727,                0.59844,                0.51995,                0.59005,                0.59192,                 1.0207,              0.0080794,              0.0080794,              0.0080794
                    197,                0.41811,                0.53885,                0.36402,                0.88095,                0.84793,                0.81614,                0.87949,                0.76141,                0.83953,                0.81581,                0.86846,                0.59225,                0.51132,                 0.5953,                0.60579,                 1.0117,              0.0080695,              0.0080695,              0.0080695
                    198,                0.42518,                0.54014,                0.37214,                0.88071,                0.83324,                0.82433,                 0.8706,                0.75333,                0.82907,                0.81982,                 0.8643,                0.59142,                0.52039,                 0.5987,                 0.6081,                 1.0165,              0.0080596,              0.0080596,              0.0080596
                    199,                0.42691,                0.54391,                0.36518,                0.87477,                0.85985,                0.80428,                0.88539,                0.76765,                 0.8531,                0.79618,                0.87688,                0.60542,                0.51532,                0.59811,                0.57562,                  1.021,              0.0080497,              0.0080497,              0.0080497
                    200,                0.42284,                0.54544,                0.37524,                0.88413,                0.82851,                0.82646,                0.88679,                0.77128,                0.83166,                0.81457,                0.87807,                  0.605,                0.51519,                0.60085,                0.58599,                 1.0098,              0.0080398,              0.0080398,              0.0080398
                    201,                0.42668,                0.54454,                0.38393,                0.88268,                0.83554,                  0.852,                0.88888,                0.76879,                0.83018,                 0.8429,                0.87812,                0.60171,                0.52467,                0.59306,                0.58161,                 1.0239,              0.0080299,              0.0080299,              0.0080299
                    202,                0.42986,                0.55878,                0.39512,                0.88628,                0.82632,                0.82691,                0.88933,                0.76277,                0.81734,                0.81934,                 0.8766,                0.60118,                0.52969,                0.59144,                0.58202,                 1.0299,                0.00802,                0.00802,                0.00802
                    203,                 0.4245,                0.53906,                0.35636,                0.88352,                 0.8242,                0.84899,                0.88339,                0.75885,                 0.8176,                0.84234,                0.87453,                0.59661,                0.52581,                0.59313,                0.57432,                 1.0292,              0.0080101,              0.0080101,              0.0080101
                    204,                0.42651,                0.53907,                0.36256,                0.88431,                0.82892,                0.82932,                0.88898,                0.76946,                0.85286,                0.79169,                0.88169,                0.61098,                0.51108,                0.59727,                0.56177,                 1.0106,              0.0080002,              0.0080002,              0.0080002
                    205,                0.42019,                0.52518,                0.35634,                0.88523,                0.84662,                 0.8134,                0.88012,                0.76222,                0.83802,                0.80526,                0.86958,                 0.6032,                0.51706,                0.59486,                 0.5971,                 1.0132,              0.0079903,              0.0079903,              0.0079903
                    206,                0.43254,                0.55806,                0.36214,                0.89384,                0.83895,                0.82177,                0.87307,                0.75206,                0.83225,                0.81451,                0.86391,                0.59836,                 0.5366,                0.59449,                0.60678,                 1.0176,              0.0079804,              0.0079804,              0.0079804
